User ID,Star Spend,Collection Power,Gold,Green Stones,Purple Stones,Max Normal Constellation,Max Raid Constellation
1002370048,0,4,3150,1550,0,constellation3,
1010080134,0,4,2150,620,0,constellation2,
1017872785,0,28,4150,2550,0,constellation4,
1021243106,0,54,47470,9550,6400,constellation9,
1031386418,0,4,2150,650,0,constellation2,
1035841657,0,8,2150,620,0,constellation2,
1051677446,0,100,65150,16790,7500,constellation9,
1052312710,0,36,4150,1880,80,constellation4,
1052832246,0,201,201410,41510,6530,constellation9,
1059406483,0,145,48150,12780,6100,constellation9,
1063118389,0,9,2340,650,0,constellation2,
1066048669,0,15,2270,840,0,constellation2,
1067656523,0,91,41150,11550,6200,constellation9,
1072909802,0,4,2250,1070,0,constellation2,
1086723395,0,75,10200,3790,1700,constellation6,
1092129113,0,4,2150,630,0,constellation2,
1099792572,0,3,3200,1550,0,constellation3,
1106616671,0,160,58340,17120,7550,constellation9,
1108268622,0,4,2320,640,0,constellation2,
1110234024,0,24,2490,720,0,constellation2,
1122509913,0,4,2150,760,0,constellation2,
1122706682,0,3,2150,580,0,constellation2,
1123996683,0,16,2250,680,0,constellation2,
1126321850,0,4,2150,610,0,constellation2,
1127029751,0,4,2150,670,0,constellation2,
1128133404,0,4,6150,3550,50,constellation5,
1129402212,0,4,2150,590,0,constellation2,
1132674022,0,120,43150,13550,6200,constellation9,
1143217547,0,3,2150,600,0,constellation2,
1144375792,0,32,23110,6300,2200,constellation8,
1146879168,0,40,15500,3960,1340,constellation7,
1149606234,0,11,2300,780,0,constellation2,
1151274798,0,0,1150,550,0,constellation1,
1151787014,0,3,1150,550,0,constellation1,
1161794244,0,19,3150,590,0,constellation3,
1162049669,0,53,15620,2430,130,constellation7,
1167966953,0,4,2150,670,0,constellation2,
1170736965,0,51,4690,2760,210,constellation4,
1172211525,0,4,2150,1550,0,constellation2,
1179018431,0,3,2150,630,0,constellation2,
1184087459,0,4,2840,1420,0,constellation3,
1184166066,750,172,62960,17360,7580,constellation9,
1187406137,0,51,7150,2550,1000,constellation5,
1192659529,0,4,2150,580,0,constellation2,
1197389305,0,4,2150,680,0,constellation2,
1208290743,0,45,4150,2550,1000,constellation4,
1209242199,0,71,3150,1550,0,constellation3,
1233710627,0,141,25890,8550,5200,constellation8,
1233961723,0,3,2150,630,0,constellation2,
1240833195,0,4,2150,670,0,constellation2,
1251334527,0,18,2320,670,0,constellation2,
1253790707,0,4,2150,640,0,constellation2,
1261389937,0,4,2150,580,0,constellation2,
1267736539,0,62,37030,11590,5170,constellation9,
1269847147,0,14,5350,2760,1000,constellation4,
1270474817,0,4,2150,670,0,constellation2,
1282424932,0,25,2370,640,0,constellation2,
1283442094,0,4,2280,1550,0,constellation2,
1284989442,0,36,10150,3650,1030,constellation6,
128499776,0,47,5650,3440,280,constellation4,
1291245171,0,4,2300,580,0,constellation2,
1291778809,0,27,12950,4550,2100,constellation6,
1298585975,0,33,4150,1550,680,constellation4,
1298723340,0,14,2270,590,0,constellation2,
1307601300,0,4,2340,650,0,constellation2,
1318468948,0,0,1150,550,0,constellation1,
1326902589,0,86,58150,12550,7300,constellation9,
1328650339,0,0,1150,550,0,constellation1,
1336087771,0,4,2270,590,0,constellation2,
1337008969,0,154,58150,16550,7100,constellation9,
1338205584,0,16,3160,2710,0,constellation3,
1338277262,0,4,2150,770,0,constellation2,
1341267328,0,0,1150,550,0,constellation1,
1345102973,0,36,2990,890,0,constellation3,
1348629891,0,4,2630,620,0,constellation2,
1358309083,0,4,2310,620,0,constellation2,
1361048119,0,3,1150,550,0,constellation1,
1367964992,0,76,54280,13440,3080,constellation9,
1369297693,0,143,11140,3680,1200,constellation6,
1373441842,0,133,44150,13550,10300,constellation9,
1377135027,0,4,2150,620,0,constellation2,
1377702192,0,66,5370,2730,340,constellation4,
1387017912,0,153,64520,17870,6000,constellation9,
1387134516,0,4,2270,670,0,constellation2,
1388565803,0,156,42810,13550,5300,constellation9,
1390579611,0,160,52900,14110,7490,constellation9,
1392521381,0,132,5480,3000,460,constellation4,
139780820,0,4,2480,1010,0,constellation2,
1398504668,0,4,2860,680,0,constellation3,
1401826592,0,3,2410,550,0,constellation2,
1410637711,0,4,2150,650,0,constellation2,
1420352258,0,176,145220,35530,8920,constellation9,
1431069020,0,25,3150,1550,0,constellation3,
143518413,0,182,96150,29550,11000,constellation9,
1437496839,0,11,8730,4550,1000,constellation5,
1448875640,0,157,58000,14550,8440,constellation9,
1451585161,0,179,137860,32660,11750,constellation9,
1453405519,0,38,2150,1550,0,constellation2,
1455608612,0,4,2150,620,0,constellation2,
1455932508,0,130,10760,4890,2100,constellation6,
1461010725,0,9,2620,1550,0,constellation2,
146303014,0,4,2150,590,0,constellation2,
1466420301,0,4,2150,600,0,constellation2,
1466665358,0,37,12150,4550,2000,constellation6,
1467288928,0,148,131360,36740,9360,constellation9,
1474297362,0,115,19150,4550,2200,constellation7,
1477131197,0,4,2450,770,0,constellation2,
1482850863,0,15,2150,660,0,constellation2,
1485485976,0,128,24310,7030,2580,constellation8,
1486177527,0,3,1150,550,0,constellation1,
1492094954,0,4,3150,1860,0,constellation3,
1500904167,0,4,3150,1550,0,constellation3,
1508909728,0,4,2150,590,0,constellation2,
1509427156,0,8,2250,1550,0,constellation2,
1518956374,0,184,120070,27550,16200,constellation9,
1528059728,0,173,123630,31290,7740,constellation9,
1529280474,1500,68,49510,11260,4810,constellation9,
1531436164,0,14,2540,1210,0,constellation2,
1535785495,0,15,2150,640,0,constellation2,
1544960525,0,33,10380,2710,880,constellation6,
155005322,0,4,2330,600,0,constellation2,
1555665594,0,4,2350,670,0,constellation2,
156213105,0,15,2730,880,0,constellation3,
1569489455,0,148,45750,12010,5840,constellation9,
1573450907,0,27,3150,1550,0,constellation3,
1574835459,0,4,2150,990,0,constellation2,
1577663804,0,145,51970,13550,11000,constellation9,
1577738386,0,4,2280,670,0,constellation2,
1580222602,0,3,1150,550,0,constellation1,
1582932440,0,4,2300,660,0,constellation2,
1587734935,0,59,11150,3760,2000,constellation6,
1591217402,0,3,2150,640,0,constellation2,
1601200448,0,36,11150,4550,2000,constellation6,
1609723995,0,53,8030,3550,220,constellation5,
1612070504,0,4,3150,1550,0,constellation3,
1629437805,0,118,25430,6610,3510,constellation8,
1629697729,0,4,2150,600,0,constellation2,
1635727821,0,33,3150,2550,0,constellation3,
1636056512,0,53,4170,2200,590,constellation4,
1641056011,0,4,2350,800,0,constellation2,
1649816082,0,18,4150,2550,0,constellation4,
1650050296,0,35,4590,2700,130,constellation4,
1660287394,0,4,2150,650,0,constellation2,
1662853098,0,47,3090,610,0,constellation3,
1669056248,0,57,5150,2310,0,constellation3,
1669266080,0,4,2150,620,0,constellation2,
1678310103,0,30,4250,1680,0,constellation3,
1679521673,0,4,2280,680,0,constellation2,
1690336106,0,16,5150,2550,0,constellation4,
1691166501,0,55,2680,1260,0,constellation3,
1694569816,0,24,2310,1550,0,constellation2,
1694827413,0,25,2780,1550,0,constellation3,
1698015259,0,30,9170,3830,1650,constellation5,
1699539399,0,25,3850,2550,0,constellation4,
1700749037,0,4,2200,670,0,constellation2,
1706390958,0,4,2150,650,0,constellation2,
1706547239,0,49,20750,6550,2100,constellation7,
1709913793,0,4,2150,640,0,constellation2,
1717549356,0,4,2150,620,0,constellation2,
1717765671,0,4,2150,650,0,constellation2,
1719282416,0,15,2330,870,0,constellation2,
1725209461,0,3,2150,550,0,constellation2,
1725748206,0,111,35150,9470,4300,constellation9,
172908654,0,20,7880,710,0,constellation6,
1738735338,0,4,2150,930,0,constellation2,
1744486281,0,4,2310,730,0,constellation2,
1744731456,0,39,4410,2670,60,constellation4,
1749831653,0,110,4150,1870,0,constellation4,
1753745910,0,4,2150,640,0,constellation2,
1755397657,0,35,8640,3060,1230,constellation5,
1758760662,0,3,2150,550,0,constellation2,
1768043033,0,89,54370,13550,6800,constellation9,
1769780803,0,183,124650,32170,8100,constellation9,
1772565146,0,0,1150,550,0,constellation1,
1772814400,0,16,3150,1880,0,constellation3,
1772820362,0,4,2340,650,0,constellation2,
1773179661,0,0,1150,550,0,constellation1,
177392585,0,8,6230,3050,1000,constellation5,
1775886925,0,50,8390,2550,420,constellation5,
1779872515,0,0,1150,550,0,constellation1,
1788353071,0,64,12340,3720,1590,constellation6,
1790603191,0,168,166970,43610,16800,constellation9,
1793909790,0,4,2150,780,0,constellation2,
1799772528,0,4,2150,810,0,constellation2,
1804871913,0,124,54100,14450,7210,constellation9,
1808779334,0,39,17270,4550,3300,constellation7,
1815846552,0,41,11250,2910,2300,constellation6,
1816011874,0,84,54520,13020,6530,constellation9,
1817101643,0,17,2460,1220,0,constellation2,
1817679116,0,4,2310,780,0,constellation2,
1819112051,0,119,4080,1810,0,constellation4,
1819176385,0,63,26150,8550,4300,constellation8,
1825707176,0,4,2330,610,0,constellation2,
1828040194,0,145,19150,6550,3100,constellation7,
1839939862,0,3,2150,550,0,constellation2,
1845645419,0,13,6150,3550,1000,constellation5,
1846549585,0,144,43150,13550,7100,constellation9,
1855907503,0,60,13990,4550,600,constellation7,
1856516378,0,14,2600,890,0,constellation2,
1863319068,0,163,59990,16550,7400,constellation9,
1864854787,0,4,2150,590,0,constellation2,
1865350924,0,100,96630,23550,10400,constellation9,
1873471917,0,0,1150,550,0,constellation1,
1875116242,0,8,3670,1670,130,constellation4,
1877273126,0,0,1150,550,0,constellation1,
1881096573,0,25,4150,1550,0,constellation4,
1884136897,0,4,2150,620,0,constellation2,
1884987346,0,9,4150,2550,0,constellation4,
1885270621,0,4,2150,620,0,constellation2,
1885581296,0,105,63890,18870,7690,constellation9,
1889679858,0,105,28950,9460,4200,constellation8,
1893640612,0,30,9610,3010,1200,constellation6,
1897324569,0,4,2150,880,0,constellation2,
1900967412,0,14,2680,680,0,constellation3,
1901574992,0,77,11150,4550,2100,constellation6,
1904055329,0,8,2150,720,0,constellation2,
1908830947,0,129,25150,9850,4200,constellation8,
1908871883,0,75,10200,3780,1800,constellation6,
1918542740,0,92,67530,19850,8400,constellation9,
1920499247,0,4,2150,650,0,constellation2,
1928810331,0,4,2150,640,0,constellation2,
1932120113,0,4,2150,580,0,constellation2,
1934167925,0,32,3510,1920,0,constellation3,
1936230247,0,20,2150,580,0,constellation2,
1945453410,0,4,2150,630,0,constellation2,
1946528011,0,20,2150,1240,0,constellation2,
1948609037,0,12,2150,550,0,constellation2,
1948645053,0,137,26150,8550,4100,constellation8,
1949374731,0,4,2330,660,0,constellation2,
1949834503,0,7,2430,600,0,constellation2,
1957042140,0,15,4150,2550,1000,constellation4,
1963007479,0,42,15150,4550,2000,constellation7,
1964495926,0,4,6590,2550,100,constellation5,
1978528661,0,9,2350,880,0,constellation2,
1983086244,0,4,2150,740,0,constellation2,
1983662087,0,34,10150,3670,1000,constellation6,
1986403136,0,16,2150,630,0,constellation2,
1987726048,0,57,9380,3680,1000,constellation5,
1987957698,0,4,2150,860,0,constellation2,
1989978735,0,15,2150,1490,0,constellation2,
1990908349,0,4,3820,2550,0,constellation3,
1995253842,0,51,4150,2550,0,constellation4,
2007108957,0,4,2150,600,0,constellation2,
2007920553,0,23,3060,1470,0,constellation3,
2011527642,0,0,1150,550,0,constellation1,
2013140320,0,0,1150,550,0,constellation1,
2017064344,0,47,11560,3830,1600,constellation6,
2033550285,0,4,2440,600,0,constellation2,
2035697100,0,4,2300,640,0,constellation2,
2047777300,0,41,2710,860,0,constellation3,
2049026015,0,157,117150,32150,13200,constellation9,
2049307727,0,35,11070,4460,2100,constellation6,
2051113865,0,13,2150,680,0,constellation2,
2054759496,0,87,8150,3550,1000,constellation5,
2057975232,0,151,61270,15230,3640,constellation9,
2060249359,0,23,3350,900,0,constellation3,
2076069285,0,0,1150,550,0,constellation1,
2090505500,0,14,2150,1150,0,constellation2,
2097290765,0,52,9150,3550,1000,constellation5,
2098514525,0,8,3010,1550,0,constellation3,
2112236203,0,4,2280,660,0,constellation2,
2112652300,0,4,2290,730,0,constellation2,
2114658703,0,16,2150,600,0,constellation2,
2114698797,0,4,2550,580,0,constellation2,
2115019442,0,18,2150,1550,0,constellation2,
2115741761,0,117,2680,1220,0,constellation3,
2118701787,0,7,2150,550,0,constellation2,
2134812688,0,4,3150,1550,0,constellation3,
2142204730,0,4,2320,620,0,constellation2,
2144806969,0,50,4150,1830,0,constellation4,
2145192011,0,213,166350,34440,11200,constellation9,
216227615,0,24,3310,1750,0,constellation3,
226488651,0,3,2150,550,0,constellation2,
239555876,0,4,2710,610,0,constellation3,
244962069,0,4,4150,2550,0,constellation4,
267188406,0,15,2280,860,0,constellation2,
272388482,0,60,4470,3550,90,constellation4,
