userId,score,gold,rare,epic,legendary
488633056,10707169653.60,20166440,9917,7979,1914
58868907,10246535900.80,20183060,11991,7409,1645
7980192923,10200527621.20,17883740,10466,8474,2105
6889389416,5678614520.00,13252000,11646,6055,1294
7014044236,4841065580.40,10884180,15873,5745,1127
7050913884,4661274493.40,22377698,3924,3122,744
7086375196,3859626583.56,29829404,2336,1891,483
5115231282,2052909826.86,10111362,7226,2709,485
1768903538,1979569011.60,26153640,1383,1162,260
7922698433,1356483389.25,14295325,3221,1246,243
5091001374,1306648932.64,7655548,5969,2123,463
270318611,1259732601.40,8957780,4976,1829,350
2133121268,1228879872.00,4231680,10515,3725,725
326682087,1138430160.00,6579000,6250,2228,427
616366938,1109516820.00,6429000,6141,2189,445
904728553,1082527500.00,6225000,6337,2161,447
7455152476,1027844808.00,13481700,1420,1128,272
7993751882,882927330.00,10148590,3185,1105,210
1869330108,870404138.96,9704584,2627,1234,254
5186578369,816661353.03,7510911,3891,1394,270
1376758870,778973672.40,5881710,3654,1810,406
5416107807,777429180.00,7758000,3574,1209,272
8244793545,768348979.20,8084480,3351,1141,263
6473980982,766712176.16,8969492,2938,1030,242
812325627,747619620.00,8647000,2984,1114,222
659522951,642358080.00,8892000,2578,932,175
5315938649,641706520.00,6461000,3486,1242,262
5835434348,631988001.60,6734740,3356,1216,228
448715519,627122200.00,10805000,2020,738,147
6635331519,623237864.40,6561780,3321,1259,230
1838223811,593853250.00,18775000,691,424,110
5683311610,584714740.00,6854000,3151,1080,204
338431880,557564160.00,6848000,2834,1036,210
6507699416,552243674.88,6979824,2826,1022,192
706381844,547751680.00,7232000,2628,932,205
6930583808,539353440.00,7067000,2731,977,187
519938217,534309600.00,8880000,2170,729,156
291266700,509203800.00,6700050,2656,978,191
1196232556,496910720.00,7232000,2376,835,189
5938046467,488087680.00,7232000,2337,824,184
1229692545,485499660.00,7562300,2236,808,166
7312960078,477052020.00,5749000,3116,1044,195
8097278898,475454700.00,7335000,2330,814,161
2125825059,449534149.90,5755879,2695,1005,200
253668293,444167930.00,7309000,2111,782,152
674439027,409151400.00,12810000,1081,411,78
2129922780,400223600.00,5320000,2648,935,197
5378466057,361166441.43,10784307,1235,398,82
1162798851,346580910.00,2637000,4706,1679,330
5291224325,277816080.36,5263662,1812,652,141
5623408008,263318360.00,5702000,1563,545,132
6611686260,258525240.00,6173000,1380,506,119
268027060,250638570.00,6363000,1363,492,100
1241433422,249242866.02,6134454,1393,500,107
171473955,242051040.00,8547000,991,357,67
6259476826,224711207.50,2995750,2712,963,180
5164159910,220937823.82,3364877,2370,822,163
2031054289,207206160.00,4253000,1660,584,136
